title,company,location,remote,salary,skills
Manager Healthcare Data Analytics,Habitat Health,Remote,Yes,0,"R, AI, Analytics"
Account Executive Collections Credit Card,BHG Financial,Remote,Yes,0,"R, AI, AWS"
Sr Technical Program Manager Order Management Services,Natera,Remote,Yes,0,"Excel, R, AI"
Manager Care Team Assistant,Imagine Pediatrics,Remote,Yes,0,R
Senior Product Manager Applied AI,Smartsheet,Remote,Yes,0,"R, AI"
Revenue Specialist First Party Auto MVA,EnableComp,Remote,Yes,0,"Excel, R, AI"
SVP Sales,InMarket,Remote,Yes,0,"Excel, R, AI"
Senior Technical Lead,Calibrate Group AI,Remote,Yes,0,"R, AI"
Product Engineer,SuperPlane,Remote,Yes,0,"Excel, R, AI"
Software Engineer Android,Superhuman,Remote,Yes,0,"R, Machine Learning, AI"
Product Manager Data Platform,Spotify,Remote,Yes,0,"R, AI"
Senior EDI e invoicing Integration Engineer with English and German French Italian Chinese,ecosio,Remote,Yes,0,"R, AI"
Field Marketing Manager,Brandwatch,Remote,Yes,0,"R, AI"
Creative Strategist,Maneuver Marketing,Remote,Yes,0,"R, AI"
Data Analyst,Criptoro,Remote,Yes,0,"Python, SQL, Excel, Power BI, Tableau, Pandas, R, AI, Analytics, Data Analysis, Statistics, Dashboard"
